LOCATION,DATE,COUNT
"Spring Street, Williamstown",2014-09-10,14
"Spring Street, Williamstown",2014-10-16,2
"Spring Street, Williamstown",2014-10-17,304
"Spring Street, Williamstown",2014-10-20,202
"Spring Street, Williamstown",2014-10-21,304
